kepid,radius,mass,cdpp6,koi_count
10195708,0.536,0.56,430.43699999999995,0
10128760,0.36,0.37,307.66700000000003,0
10195818,0.4,0.42,137.269,0
10145824,0.45,0.47,351.01199999999994,0
10145950,0.37,0.4,202.982,0
10157568,0.18899999999999997,0.17,606.067,0
10093963,0.46,0.48,252.984,0
10099790,0.41,0.43,205.975,0
10122538,0.523,0.54,383.74,4.0
10122598,0.41,0.44,445.85,0
10129425,0.49,0.5,35.834,0
10162201,0.445,0.46,308.779,0
10199556,0.547,0.55,164.23,0
10118339,0.41,0.43,189.93099999999998,0
10134443,0.36,0.38,232.297,0
10158021,0.537,0.56,266.89099999999996,0
10199844,0.53,0.54,214.794,0
10118677,0.532,0.55,82.09299999999999,0
10146539,0.31,0.3,395.36400000000003,0
10158029,0.616,0.61,225.149,0
10190138,0.275,0.26,443.793,0
10190277,0.43200000000000005,0.46,432.13800000000003,0
10190314,0.557,0.56,74.656,0
10196740,0.11599999999999999,0.09,1086.861,0
10118794,0.11599999999999999,0.09,7180.6269999999995,0
10118816,0.52,0.54,186.69099999999997,1.0
10118817,0.45,0.47,547.945,0
10130595,0.46,0.47,143.622,0
10158204,0.547,0.55,118.41799999999999,0
10186824,0.231,0.21,135.116,0
10196885,0.313,0.31,115.15299999999999,0
10200187,0.46799999999999997,0.48,206.96,0
10200280,0.506,0.51,291.293,0
10449173,0.115,0.1,509.99800000000005,0
10453314,0.11599999999999999,0.09,73.487,0
10471434,0.13699999999999998,0.11,3554.426,0
10483810,0.38,0.4,170.704,0
10449562,0.327,0.32,229.745,0
10471681,0.42,0.44,193.615,0
10471960,0.389,0.41,432.273,0
10453849,0.537,0.56,279.885,0
10454036,0.466,0.48,90.51700000000001,0
10461831,0.312,0.3,198.40900000000002,0
10200750,0.537,0.56,416.441,0
10454492,0.569,0.57,156.725,0
10450336,0.53,0.54,372.965,0
10462337,0.466,0.49,458.454,0
10455009,0.237,0.22,220.245,0
10462462,0.435,0.46,1298.599,0
10468871,0.35,0.36,312.267,0
10427308,0.431,0.45,314.503,0
10427630,0.5,0.51,182.545,0
10469305,0.483,0.5,242.644,0
10450889,0.537,0.56,248.858,0
10456779,0.13699999999999998,0.12,388.296,0
10482602,0.37200000000000005,0.39,179.125,0
10447520,0.537,0.56,403.579,0
10459524,0.21,0.19,279.98400000000004,0
10459632,0.36,0.37,188.93200000000002,0
10469807,0.519,0.54,417.754,0
10485584,0.613,0.62,95.71,0
10451268,0.29,0.29,388.152,0
10460047,0.272,0.27,131.322,0
10480395,0.11599999999999999,0.09,280.367,0
10448110,0.506,0.51,580.0,0
10448236,0.526,0.54,164.232,0
10452252,0.218,0.2,272.441,0
10452364,0.5,0.51,364.332,0
10448377,0.61,0.61,632.54,0
10448612,0.36,0.38,560.622,0
10452840,0.27,0.25,1071.826,0
10452869,0.44,0.47,654.4119999999999,0
10470935,0.494,0.51,231.832,0
10453018,0.188,0.17,314.216,0
2164791,0.11599999999999999,0.09,302.819,0
2299892,0.461,0.47,223.752,0
1569682,0.514,0.54,250.11,0
1577167,0.537,0.56,331.434,0
1577265,0.56,0.58,289.024,0
2300039,0.341,0.34,547.556,0
1162635,0.494,0.51,360.776,0
1429729,0.523,0.54,588.262,0
1569863,0.36,0.38,464.779,0
1724234,0.319,0.32,998.9810000000001,0
2283749,0.569,0.57,1349.7160000000001,0
892376,0.605,0.6,211.553,0
1872885,0.616,0.61,910.612,0
1866535,0.473,0.48,164.66099999999997,0
1873513,0.18899999999999997,0.16,306.09,1.0
1873523,0.55,0.56,279.14799999999997,0
1873543,0.6,0.6,236.313,0
2011870,0.575,0.57,105.671,0
2305283,0.4,0.42,292.384,0
1430893,0.541,0.56,275.85400000000004,0
1866986,0.616,0.62,199.847,0
1867358,0.43,0.45,357.89300000000003,0
2018739,0.19899999999999998,0.18,185.863,0
2159700,0.503,0.51,19.011,0
2284919,0.43,0.46,253.248,0
1718059,0.55,0.55,124.976,0
1718071,0.5,0.5,337.376,0
2142372,0.45,0.46,286.262,0
2142451,0.39,0.41,276.153,0
2166547,0.424,0.44,263.499,0
1025859,0.569,0.57,640.672,0
1292688,0.53,0.54,338.745,0
1293177,0.21600000000000003,0.2,428.874,0
1293393,0.536,0.56,727.5419999999999,0
1995168,0.54,0.56,223.498,0
2019352,0.561,0.56,98.17,0
1431845,0.569,0.57,356.043,0
1995305,0.235,0.21,350.05300000000005,0
2012731,0.29,0.29,369.79,0
2161536,0.565,0.57,305.2,1.0
1572802,0.535,0.55,978.8839999999999,0
2167183,0.599,0.6,151.889,0
1432978,0.563,0.57,361.897,0
2162907,0.52,0.53,355.945,0
1720670,0.541,0.56,285.23400000000004,0
2167693,0.5,0.51,295.337,0
1433760,0.213,0.2,1008.748,0
1870952,0.524,0.55,269.545,0
1996399,0.51,0.54,140.535,0
2020498,0.513,0.52,76.718,0
2163610,0.5489999999999999,0.55,363.708,0
2302997,0.523,0.54,146.542,0
1721911,0.45,0.46,207.166,0
1871815,0.48,0.51,1032.413,0
1996728,0.38,0.4,575.043,0
2157356,0.4,0.42,408.585,0
2282712,0.33,0.33,279.937,0
1296779,0.447,0.46,59.927,0
2299543,0.159,0.13,163.754,0
2435893,0.57,0.58,193.86,0
2447737,0.53,0.56,832.62,0
2570846,0.506,0.51,307.7,0
2575433,0.52,0.54,291.825,0
2695622,0.47,0.48,270.211,0
2714000,0.485,0.49,322.46299999999997,0
2557350,0.41,0.43,328.274,0
2571093,0.602,0.6,75.251,0
2695885,0.31,0.3,206.995,0
2557669,0.43,0.45,344.173,0
2581298,0.479,0.49,237.905,0
2443935,0.51,0.52,260.284,0
2452771,0.53,0.55,163.3,0
2309152,0.547,0.56,341.561,0
2692704,0.59,0.59,231.442,0
2692708,0.569,0.57,235.3,0
2692772,0.46399999999999997,0.47,290.393,0
2693045,0.41700000000000004,0.44,501.20300000000003,0
2715135,0.52,0.53,168.092,1.0
2577743,0.556,0.56,109.22,0
2718935,0.457,0.47,259.844,0
